captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108OH36780,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-07T21:31:36.595Z,0,8933,0.0,47401,0,0.0,47402,0,0.0,4700000,99,0,7050000,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108OH36780,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T18:22:39.939Z,0,8933,0.0,47401,0,0.0,47402,0,0.0,4700000,99,0,7050000,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108OH36780,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T22:23:39.669Z,0,8933,0.0,47401,0,0.0,47402,0,0.0,4700000,99,0,7050000,0,0,,,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,20221108OH36780,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T22:31:26.811Z,0,8933,0.0,47401,0,0.0,47402,0,0.0,4700000,99,0,7050000,0,0,,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108OH36780,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:32:02.885Z,0,8933,0.0,47401,0,0.0,47402,0,0.0,4700000,99,0,7050000,0,0,,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108OH36780,live,3.9,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:41:04.323Z,1,8933,0.01,47401,126689,69.14,47402,56544,30.86,4700000,99,183233,7050000,1,348,1.0,0.0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108OH36780,live,4.03,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:46:17.879Z,5,8933,0.06,47401,129577,68.47,47402,59682,31.53,4700000,99,189259,7050000,5,360,1.0,0.0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108OH36780,live,5.18,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:50:59.469Z,13,8933,0.15,47401,153188,62.92,47402,90275,37.08,4700000,99,243463,7050000,13,463,1.0,0.0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108OH36780,live,5.28,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:54:36.371Z,14,8933,0.16,47401,154936,62.38,47402,93434,37.62,4700000,99,248370,7050000,14,472,1.0,0.0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108OH36780,live,8.2,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:59:31.879Z,19,8933,0.21,47401,239269,62.06,47402,146282,37.94,4700000,99,385551,7050000,19,733,1.0,0.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108OH36780,live,9.34,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:04:25.154Z,23,8933,0.26,47401,265275,60.43,47402,173699,39.57,4700000,99,438974,7050000,23,834,1.0,0.0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108OH36780,live,10.14,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:08:29.300Z,25,8933,0.28,47401,282018,59.18,47402,194556,40.82,4700000,99,476574,7050000,25,906,1.0,0.0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108OH36780,live,11.35,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:13:45.046Z,45,8933,0.5,47401,310009,58.13,47402,223256,41.87,4700000,99,533265,7050000,45,1014,1.0,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108OH36780,live,11.93,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:18:34.909Z,49,8933,0.55,47401,323470,57.67,47402,237446,42.33,4700000,99,560916,7050000,49,1066,1.0,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108OH36780,live,12.15,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:21:17.800Z,49,8933,0.55,47401,327748,57.39,47402,243327,42.61,4700000,99,571075,7050000,49,1085,1.0,0.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108OH36780,live,24.62,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:28:44.973Z,133,8933,1.49,47401,655493,56.65,47402,501522,43.35,4700000,99,1157015,7050000,133,2199,1.0,0.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108OH36780,live,27.29,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:33:37.323Z,149,8933,1.67,47401,728566,56.81,47402,553981,43.19,4700000,99,1282547,7050000,149,2438,1.0,0.0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108OH36780,live,27.49,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:37:59.302Z,185,8933,2.07,47401,731767,56.64,47402,560148,43.36,4700000,99,1291915,7050000,185,2455,1.0,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108OH36780,live,28.55,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:41:55.006Z,298,8933,3.34,47401,749687,55.87,47402,592108,44.13,4700000,99,1341795,7050000,298,2550,1.0,0.0,,
